CCE19CS052, HUT200(S), MCN202(S), MAT206(A), CST202(C+), CST204(B+), CST206(C+), CSL202(S), CSL204(S)
CCE19CS053, HUT200(S), MCN202(A), MAT206(S), CST202(B), CST204(S), CST206(A+), CSL202(S), CSL204(S)
CCE19CS054, HUT200(B+), MCN202(B+), MAT206(C), CST202(P), CST204(P), CST206(P), CSL202(A+), CSL204(A)
CCE19CS055, HUT200(B+), MCN202(B+), MAT206(B), CST202(A), CST204(B+), CST206(B), CSL202(A+), CSL204(A)
CCE19CS056, HUT200(A), MCN202(B+), MAT206(A), CST202(C+), CST204(B+), CST206(C+), CSL202(S), CSL204(S)
CCE19CS057, HUT200(A+), MCN202(C), MAT206(B+), CST202(C+), CST204(B), CST206(P), CSL202(S), CSL204(S)
CCE19CS058, HUT200(A), MCN202(S), MAT206(B+), CST202(C), CST204(A), CST206(B+), CSL202(S), CSL204(S)
CCE19CS059, HUT200(A), MCN202(A), MAT206(S), CST202(B+), CST204(A), CST206(S), CSL202(S), CSL204(S)
CCE19CS060, HUT200(B), MCN202(D), MAT206(B), CST202(D), CST204(B), CST206(B+), CSL202(A+), CSL204(A+)
CCE19CS061, HUT200(A), MCN202(B+), MAT206(A), CST202(C), CST204(B), CST206(C+), CSL202(A), CSL204(A+)
CCE19CS062, HUT200(B+), MCN202(B+), MAT206(B+), CST202(C), CST204(A+), CST206(A+), CSL202(A), CSL204(A+)
CCE19CS063, HUT200(B), MCN202(F), MAT206(A), CST202(P), CST204(B), CST206(C+), CSL202(A+), CSL204(A+)
